Product Handle,Variant SKU,Product Title,Gia VND,Duong dan anh (local)
mega-charizard-x-ex-223-193,POKE-0001,Mega Charizard X ex 223/193,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Mega Pokemon - Mega Charizard X ex 223_193.png
arceus-dialga-palkia-gx-258-236,POKE-0005,Arceus & Dialga & Palkia GX 258/236,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Arceus & Dialga & Palkia GX 258_236.png
altaria-ex-253-182,POKE-0004,Altaria ex 253/182,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Altaria ex 253_182.png
mistys-psyduck-70-hp,POKE-0002,Misty's Psyduck 70 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Misty_s Pokemon - Misty_s Psyduck 70 HP.png
pikachu-70-hp,POKE-0003,Pikachu 70 HP,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon  - Pikachu 70 HP.png
charizard-011-087,POKE-0012,Charizard 011/087,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charizard 011_087.png
bulbasaur-scr-143-142,POKE-0011,Bulbasaur SCR 143/142,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Bulbasaur SCR 143_142.png
bulbasaur-meg-143-142,POKE-0008,Bulbasaur MEG 143/142,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Bulbasaur MEG 143_142.png
articuno-161-159,POKE-0006,Articuno 161/159,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Articuno 161_159.png
charizard-ex-sv3-117-108,POKE-0014,Charizard ex SV3 117/108,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charizard ex SV3 117_108.png
bulbasaur-meg-166-165,POKE-0009,Bulbasaur MEG 166/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Bulbasaur MEG 166_165.png
charizard-ex-mew-199-165,POKE-0013,Charizard ex MEW 199/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charizard ex MEW 199_165.png
blaziken-vmax-217-184,POKE-0007,Blaziken VMAX 217/184,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Blaziken VMAX 217_184.png
charmander-109-165,POKE-0015,Charmander 109/165,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Charmander 109_165.png
bulbasaur-mep-037,POKE-0010,Bulbasaur MEP 037,,c:\Users\ASUS\OneDrive\Documents\metal\data\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE FRAMINUM - POKEMON - LỤC GIÁC\POKE Framium - Lục giác - Pokemon - Bulbasaur MEP 037.png
